titles,interviewee,url
西单大悦城：核心商圈上的“国际青年城”,——专访锦绣天地总经理，原西单大悦城推广总监韩继志采访 付蓉  整理 梁兴芳...,http://www.chinabuildingcentre.com/show-41-644-1.html
华润五彩城：着眼未来的“超定位”商业地产开发,——专访华润&bull;五彩城管理中心总经理祝林采访 付蓉 整理 梁兴芳 摄影 高...,http://www.chinabuildingcentre.com/show-41-643-1.html
地域性自然——对王向荣的采访,《城市环境设计》（以下简称UED）：请您谈谈您的设计理念及文化核心。 王：首先，...,http://www.chinabuildingcentre.com/show-41-642-1.html
伊东丰雄：建筑界会复兴“自然亲近”风格,作为一名建筑师，你理想中的居所是什么样的？【伊东丰雄】我之前居住的是银色小屋(...,http://www.chinabuildingcentre.com/show-41-640-1.html
城市的未来,作者／丹尼尔·里伯斯金翻译／唐笑原文刊载于／英国《金融时报》，2010年9月7日每...,http://www.chinabuildingcentre.com/show-41-639-1.html
追寻那种迥然不同的神秘力量,——重读《破土：生活与建筑的冒险》文／李向北1967年5月生于四川成都重庆大学艺术...,http://www.chinabuildingcentre.com/show-41-638-1.html
一篇和建筑无关的文字,文／钱源 万科万创设计管理中心研发总监一直不知如何落笔所以几乎在编辑不断催促...,http://www.chinabuildingcentre.com/show-41-637-1.html
丹尼尔·里伯斯金：回顾、进程与未来,"原文刊载于Designboom, 2013年2月18日翻译／韩苗Designboom(DB)Daniel Libeskind...",http://www.chinabuildingcentre.com/show-41-636-1.html
绘画即研究——专访丹尼尔·里伯斯金,采访人／钟善、康娟翻译／钟善在中国的实践UED：香港城市大学创意媒体中心是你在中...,http://www.chinabuildingcentre.com/show-41-635-1.html
关于丹尼尔·里伯斯金,文字提供／丹尼尔·里伯斯金工作室丹尼尔·里伯斯金一直致力于不断扩大建筑的疆域...,http://www.chinabuildingcentre.com/show-41-634-1.html
寻求行业的变革与未来——“不同立场下的建筑学”研讨纪实,Edit_李慧 缴平 Photography_高文仲主办单位：《城市&bull;环境&bull;设计》（UE...,http://www.chinabuildingcentre.com/show-41-633-1.html
【UED大师讲堂-布莱登·麦克法兰】访谈-建筑与河流的对话,布兰登&bull;麦克法兰（Brandan MacFarlane）来自法国当红的建筑师组合雅各布+麦...,http://www.chinabuildingcentre.com/show-41-632-1.html
【新周刊】细胞城市里的民主建筑,忘掉自己是城市细胞一部分的建筑无法经受时间的考验，不管它在结构上是多么的出色...,http://www.chinabuildingcentre.com/show-41-631-1.html
【创新思维】材•艺——Arup Associates材料之美,作为表达建筑与环境引力的独特部件，建筑表皮因建筑日益明显的多元化趋势，获得了...,http://www.chinabuildingcentre.com/show-41-630-1.html
【绿色先锋】Arup Associates的科技园区设计,在Arup Associates50年的发展历程中，从最初的建筑师与工程师互相合作，到如今的...,http://www.chinabuildingcentre.com/show-41-629-1.html
【一体化设计】一体化设计之源——探秘Arup Associates团队（三）,UED以建筑专业媒体视角深入Arup Associates团队，为您解读全球Arup Associates跨...,http://www.chinabuildingcentre.com/show-41-628-1.html
